Date,Close
7/20/2018,49.73
7/23/2018,49.61
7/24/2018,49.39
7/25/2018,49.48
7/26/2018,50.26
7/27/2018,49.41
7/30/2018,48.15
7/31/2018,48.41
8/01/2018,48.6
8/02/2018,49.18
8/03/2018,51.15
8/07/2018,50.48
8/08/2018,51.16
8/09/2018,51.35
8/10/2018,51.16
8/13/2018,51.25
8/14/2018,51.44
8/15/2018,50.77
8/16/2018,51
8/17/2018,50.69
8/20/2018,50.48
8/21/2018,50.22
8/22/2018,49.93
8/23/2018,50.82
8/24/2018,50.72
8/27/2018,50.46
8/28/2018,50.39
8/29/2018,50.81
8/30/2018,51.57
8/31/2018,51.18
9/04/2018,51.86
9/05/2018,51.26
9/06/2018,50.55
9/07/2018,50.55
9/10/2018,50.58
9/11/2018,50.39
9/12/2018,49.81
9/13/2018,49.81
9/14/2018,50.41
9/17/2018,49.71
9/18/2018,49.6
9/19/2018,49.41
9/20/2018,49.67
9/21/2018,49.42
9/24/2018,49.17
9/25/2018,49.19
9/26/2018,49.34
9/27/2018,50.19
9/28/2018,49.15
10/01/2018,48.38
10/02/2018,47.72
10/03/2018,47.71
10/04/2018,47.27
10/05/2018,46.86
10/09/2018,46.05
10/10/2018,44.6
10/11/2018,44.27
10/12/2018,45.33
10/15/2018,44.31
10/16/2018,45.38
10/17/2018,45.36
10/18/2018,44.93
10/19/2018,44.59
10/22/2018,44.98
10/23/2018,45.04
10/24/2018,43.81
10/25/2018,44.05
10/26/2018,43.32
10/29/2018,42.96
10/30/2018,43.64
10/31/2018,44.44
11/01/2018,44.53
11/02/2018,43.51
11/05/2018,43.22
11/06/2018,43.46
11/07/2018,44.2
11/08/2018,43.85
11/09/2018,43.58
11/12/2018,42.97
11/13/2018,43.68
11/14/2018,43.33
11/15/2018,43.34
11/16/2018,43.67
11/19/2018,42.88
11/20/2018,43.35
11/21/2018,44.29
11/22/2018,44.09
11/23/2018,44.6
11/26/2018,45.25
11/27/2018,45.32
11/28/2018,45.9
11/29/2018,45.15
11/30/2018,45.53
12/03/2018,45.73
12/04/2018,45.35
12/05/2018,45.61
12/06/2018,44.67
12/07/2018,44
12/10/2018,44.73
12/11/2018,44.84
12/12/2018,45.47
12/13/2018,45.2
12/14/2018,43.8
12/17/2018,42.93
12/18/2018,44.92
12/19/2018,44.51
12/20/2018,44.01
12/21/2018,42.8
12/24/2018,42.82
12/27/2018,44.49
12/28/2018,44.26
12/31/2018,44.5
1/02/2019,44.05
1/03/2019,42.44
1/04/2019,43.2
1/07/2019,43.57
1/08/2019,44.79
1/09/2019,45.18
1/10/2019,45.66
1/11/2019,45.76
1/14/2019,45.47
1/15/2019,45.65
1/16/2019,45.76
1/17/2019,46.18
1/18/2019,46.87
1/21/2019,46.44
1/22/2019,46.45
1/23/2019,46.73
1/24/2019,47.06
1/25/2019,47.39
1/28/2019,47.05
1/29/2019,46.56
1/30/2019,46.41
1/31/2019,46.71
2/01/2019,48.68
2/04/2019,49.31
2/05/2019,49.5
2/06/2019,49.5
2/07/2019,49.16
2/08/2019,49.09
2/11/2019,48.82
2/12/2019,48.82
2/13/2019,49.11
2/14/2019,49.73
2/15/2019,49.7
2/19/2019,49.59
2/20/2019,49.68
2/21/2019,49.43
2/22/2019,49.81
2/25/2019,50.24
2/26/2019,50.3
2/27/2019,50.48
2/28/2019,49.88
3/01/2019,50.65
3/04/2019,50.41
3/05/2019,50.54
3/06/2019,50.92
3/07/2019,50.6
3/08/2019,50.35
3/11/2019,50.58
3/12/2019,50.87
3/13/2019,50.49
3/14/2019,50.48
