Date,Close
1/02/2018,57.99
1/03/2018,57.41
1/04/2018,57.42
1/05/2018,57.42
1/08/2018,56.86
1/09/2018,57.37
1/10/2018,57.09
1/11/2018,56.78
1/12/2018,56.97
1/15/2018,57.38
1/16/2018,57.45
1/17/2018,57.95
1/18/2018,58.51
1/19/2018,58.17
1/22/2018,58.56
1/23/2018,58.62
1/24/2018,58.56
1/25/2018,58.41
1/26/2018,58.93
1/29/2018,58.52
1/30/2018,56.67
1/31/2018,56.33
2/01/2018,55.36
2/02/2018,54.97
2/05/2018,54.84
2/06/2018,54.73
2/07/2018,54.91
2/08/2018,53.98
2/09/2018,54.1
2/12/2018,54.91
2/13/2018,54.4
2/14/2018,54.54
2/15/2018,54.72
2/16/2018,55.7
2/20/2018,55.6
2/21/2018,55.22
2/22/2018,54.24
2/23/2018,54.84
2/26/2018,55.28
2/27/2018,55.95
2/28/2018,55.73
3/01/2018,54.97
3/02/2018,54.75
3/05/2018,55.19
3/06/2018,55.77
3/07/2018,55.45
3/08/2018,55.83
3/09/2018,56.22
3/12/2018,56.61
3/13/2018,56.58
3/14/2018,56.41
3/15/2018,55.98
3/16/2018,55.64
3/19/2018,55.99
3/20/2018,56.28
3/21/2018,55.73
3/22/2018,54.99
3/23/2018,54.02
3/26/2018,54.25
3/27/2018,53.67
3/28/2018,54.53
3/29/2018,55.03
4/02/2018,54.49
4/03/2018,54.33
4/04/2018,54.6
4/05/2018,54.62
4/06/2018,54.2
4/09/2018,55.35
4/10/2018,54.28
4/11/2018,53.91
4/12/2018,53.97
4/13/2018,53.51
4/16/2018,53.64
4/17/2018,53.77
4/18/2018,54.73
4/19/2018,55.23
4/20/2018,55.33
4/23/2018,55.99
4/24/2018,54.56
4/25/2018,55.06
4/26/2018,55.36
4/27/2018,55.77
4/30/2018,55.21
5/01/2018,55.43
5/02/2018,55.33
5/03/2018,54.66
5/04/2018,54.76
5/07/2018,55.01
5/08/2018,55.47
5/09/2018,55.23
5/10/2018,56.07
5/11/2018,55.64
5/14/2018,55.95
5/15/2018,55.95
5/16/2018,55.59
5/17/2018,55.43
5/18/2018,55.61
5/22/2018,55.4
5/23/2018,55.69
5/24/2018,55.44
